year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
female,..,..,43.7461,49.2239,60.3556,64.2079,68.4159,71.4016,74.1765,75.3473,78.5456,78.07,79.3996,81.4862,83.7069,85.4955,81.1987,81.2078,84.1628,85.2831,87.3028,90.5614,90.4838,91.4829
male,..,..,53.9857,59.7484,69.0886,73.1993,75.921,78.9275,81.6617,83.1913,85.1713,84.49,85.3174,86.8616,88.7048,89.6965,87.2483,87.6739,89.9817,91.0642,92.3982,92.2967,92.772,93.4711
